athlete_id,athlete_display_name,team_id,team_name,team_display_name,team_location,athlete_position_name,athlete_position_abbreviation,games_played,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points,games_started,team_score,opponent_team_score,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,points_per_40,rebounds_per_40,assists_per_40,steals_per_40,blocks_per_40,turnovers_per_40,fg_pct,three_pt_pct,ft_pct,efg_pct,ts_pct,best_ap_rank,is_ap_top25,height_inches,class_year,roster_position,previous_school,is_redshirt,conference,division,team_state,hometown_clean,state_clean,country_clean,year_numeric,is_transfer,team_state_long,is_homestate_transfer,is_hometown_transfer
5312794.0,Aimée Michel,227,Rams,Rhode Island Rams,Rhode Island,Center,C,27,189.0,23.0,50.0,11.0,29.0,6.0,7.0,22.0,20.0,42.0,5.0,1.0,2.0,11.0,20.0,63.0,0,68.5,54.4,7.0,2.3,1.6,0.2,0.0,0.1,0.4,13.3,8.9,1.1,0.2,0.4,2.3,46.0,37.9,85.7,57.0,59.3,11.0,True,75.0,Freshman,CENTER,,False,Atlantic 10,I,RI,"ALBI, FRANCE",,FRANCE,1.0,False,,False,False
5312795.0,Vanessa Harris,227,Rams,Rhode Island Rams,Rhode Island,Guard,G,33,714.0,126.0,336.0,31.0,114.0,54.0,81.0,18.0,107.0,125.0,32.0,31.0,5.0,59.0,66.0,337.0,0,67.3,54.2,21.6,10.2,3.8,1.0,0.9,0.2,1.8,18.9,7.0,1.8,1.7,0.3,3.3,37.5,27.2,66.7,42.1,45.3,11.0,True,70.0,Freshman,GUARD,,False,Atlantic 10,I,RI,"GLENARDEN, MD",MD,USA,1.0,False,,False,False
5312939.0,Kendal Brueggen,2623,Lady Bears,Missouri State Lady Bears,Missouri State,Guard,G,36,605.0,79.0,187.0,21.0,86.0,31.0,42.0,36.0,62.0,98.0,37.0,20.0,6.0,49.0,52.0,210.0,0,65.6,62.1,16.8,5.8,2.7,1.0,0.6,0.2,1.4,13.9,6.5,2.4,1.3,0.4,3.2,42.2,24.4,73.8,47.9,51.1,16.0,True,,,,,False,,,,,,,,False,,False,False
5312940.0,Maycee James,2623,Lady Bears,Missouri State Lady Bears,Missouri State,Guard,G,36,896.0,29.0,100.0,3.0,14.0,47.0,72.0,14.0,99.0,113.0,99.0,86.0,7.0,88.0,111.0,108.0,36,65.6,62.1,24.9,3.0,3.1,2.8,2.4,0.2,2.4,4.8,5.0,4.4,3.8,0.3,3.9,29.0,21.4,65.3,30.5,41.0,16.0,True,,,,,False,,,,,,,,False,,False,False
5312941.0,Maiesha Washington,2623,Lady Bears,Missouri State Lady Bears,Missouri State,Forward,F,36,985.0,110.0,255.0,2.0,10.0,62.0,89.0,69.0,149.0,218.0,55.0,25.0,18.0,73.0,52.0,284.0,13,65.6,62.1,27.4,7.9,6.1,1.5,0.7,0.5,2.0,11.5,8.9,2.2,1.0,0.7,3.0,43.1,20.0,69.7,43.5,48.3,16.0,True,,,,,False,,,,,,,,False,,False,False
5312942.0,Audrey Hopkins,2623,Lady Bears,Missouri State Lady Bears,Missouri State,Guard,G,34,451.0,24.0,67.0,11.0,37.0,10.0,18.0,20.0,52.0,72.0,21.0,12.0,5.0,23.0,28.0,69.0,0,65.6,62.0,13.3,2.0,2.1,0.6,0.4,0.1,0.7,6.1,6.4,1.9,1.1,0.4,2.0,35.8,29.7,55.6,44.0,46.0,16.0,True,,,,,False,,,,,,,,False,,False,False
5313028.0,Madison Hoffmann,2739,Phoenix,Green Bay Phoenix,Green Bay,Guard,G,4,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0,73.5,48.5,1.8,1.0,0.2,0.0,0.0,0.0,0.0,22.9,5.7,0.0,0.0,0.0,0.0,50.0,,,50.0,50.0,13.0,True,73.0,Freshman,GUARD,,False,Horizon,I,WI,"GRAYSLAKE, ILL",IL,USA,1.0,False,,False,False
5313029.0,Kristina Ouimette,2739,Phoenix,Green Bay Phoenix,Green Bay,Guard,G,34,585.0,71.0,176.0,41.0,108.0,14.0,20.0,9.0,49.0,58.0,15.0,7.0,12.0,23.0,28.0,197.0,0,68.4,59.1,17.2,5.8,1.7,0.4,0.2,0.4,0.7,13.5,4.0,1.0,0.5,0.8,1.6,40.3,38.0,70.0,52.0,53.3,13.0,True,73.0,Freshman,GUARD,,False,Horizon,I,WI,"MINOCQUA, WIS",WI,USA,1.0,False,,False,False
5313317.0,Grace O'Sullivan,163,Tigers,Princeton Tigers,Princeton,Guard,G,23,209.0,13.0,27.0,8.0,16.0,0.0,2.0,9.0,18.0,27.0,9.0,8.0,0.0,8.0,18.0,34.0,0,73.9,59.8,9.1,1.5,1.2,0.4,0.3,0.0,0.3,6.5,5.2,1.7,1.5,0.0,1.5,48.1,50.0,0.0,63.0,61.0,9.0,True,,Freshman,GUARD,,False,Ivy League,I,NJ,"ACTON, MASS",MA,USA,1.0,False,New Jersey,False,False
5313318.0,Sarah Lessig,163,Tigers,Princeton Tigers,Princeton,Forward,F,11,56.0,8.0,12.0,1.0,2.0,5.0,5.0,6.0,7.0,13.0,3.0,1.0,2.0,4.0,6.0,22.0,0,75.2,54.5,5.1,2.0,1.2,0.3,0.1,0.2,0.4,15.7,9.3,2.1,0.7,1.4,2.9,66.7,50.0,100.0,70.8,77.5,9.0,True,,Freshman,FORWARD,,False,Ivy League,I,NJ,"SEATTLE, WASH",WA,USA,1.0,False,New Jersey,False,False
5313537.0,Jacklynn Hosier,261,Catamounts,Vermont Catamounts,Vermont,Guard,G,34,496.0,29.0,79.0,11.0,31.0,18.0,22.0,11.0,32.0,43.0,21.0,14.0,7.0,32.0,33.0,87.0,0,65.4,51.6,14.6,2.6,1.3,0.6,0.4,0.2,0.9,7.0,3.5,1.7,1.1,0.6,2.6,36.7,35.5,81.8,43.7,49.1,14.0,True,68.0,Freshman,GUARD,,False,America East,I,VT,"ALEXANDRIA, IND",IN,USA,1.0,False,,False,False
